phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7139291,https://pdfbillbt.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7139291,2021-05-27T07:05:08+00:00,yes,2021-05-27T07:08:03+00:00,yes,Other
7139289,https://mybillsupport001.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7139289,2021-05-27T07:04:28+00:00,yes,2021-05-27T07:08:03+00:00,yes,Other
7139283,https://bdsddsakaskdsjdas.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7139283,2021-05-27T07:03:04+00:00,yes,2021-05-27T07:07:08+00:00,yes,Other
7139258,https://houyukun.com/wp-admin/usernem/,http://www.phishtank.com/phish_detail.php?phish_id=7139258,2021-05-27T06:57:53+00:00,yes,2021-05-27T07:00:44+00:00,yes,Other
7139253,http://pancalkeswap.com,http://www.phishtank.com/phish_detail.php?phish_id=7139253,2021-05-27T06:51:18+00:00,yes,2021-05-27T06:56:13+00:00,yes,Other
7139212,https://rakuten.email-nissen13.shop/404.html,http://www.phishtank.com/phish_detail.php?phish_id=7139212,2021-05-27T06:20:53+00:00,yes,2021-05-27T06:22:52+00:00,yes,Other
7139211,https://rakuten.email-nissen13.shop/,http://www.phishtank.com/phish_detail.php?phish_id=7139211,2021-05-27T06:20:52+00:00,yes,2021-05-27T06:22:52+00:00,yes,Other
7139198,https://www.traidter.xyz,http://www.phishtank.com/phish_detail.php?phish_id=7139198,2021-05-27T06:08:51+00:00,yes,2021-05-27T06:13:47+00:00,yes,Other
7139197,https://edinson.xyz/pge/891241974/1274917/index.php?pay,http://www.phishtank.com/phish_detail.php?phish_id=7139197,2021-05-27T06:06:50+00:00,yes,2021-05-27T06:13:47+00:00,yes,Other
7139196,https://www.traidter.xyz/pge/891241974/1274917/index.php?pay,http://www.phishtank.com/phish_detail.php?phish_id=7139196,2021-05-27T06:05:00+00:00,yes,2021-05-27T06:13:47+00:00,yes,Other
7139191,https://www.ghasitaramgifts.com/assets/site,http://www.phishtank.com/phish_detail.php?phish_id=7139191,2021-05-27T06:01:00+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139190,http://arnannzom-update-service.ylxla.bar/signim/,http://www.phishtank.com/phish_detail.php?phish_id=7139190,2021-05-27T06:00:56+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139189,https://vjjbwut.cn/mobile,http://www.phishtank.com/phish_detail.php?phish_id=7139189,2021-05-27T06:00:50+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139188,https://snde-caeb.com.icgdvtf.cn/mobile,http://www.phishtank.com/phish_detail.php?phish_id=7139188,2021-05-27T06:00:44+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139187,https://amazon.hodokcd.cn/signin,http://www.phishtank.com/phish_detail.php?phish_id=7139187,2021-05-27T06:00:39+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139185,https://vip-amazon.topvnet.cn/signin,http://www.phishtank.com/phish_detail.php?phish_id=7139185,2021-05-27T06:00:28+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139184,https://u.amazoncojp-secure.cf/pc,http://www.phishtank.com/phish_detail.php?phish_id=7139184,2021-05-27T06:00:23+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139183,http://u1121816912.ha004.t.justns.ru/chnkpdr/e3585,http://www.phishtank.com/phish_detail.php?phish_id=7139183,2021-05-27T06:00:17+00:00,yes,2021-05-27T06:04:43+00:00,yes,Other
7139162,http://89473.ihostfull.com/step1.php,http://www.phishtank.com/phish_detail.php?phish_id=7139162,2021-05-27T05:23:32+00:00,yes,2021-05-27T05:27:28+00:00,yes,Caixa
7139121,http://z9a67.moneyfat.work/apmix,http://www.phishtank.com/phish_detail.php?phish_id=7139121,2021-05-27T05:08:35+00:00,yes,2021-05-27T05:11:04+00:00,yes,Other
7139105,https://www.httpservlces.runescape.com-m.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7139105,2021-05-27T05:04:54+00:00,yes,2021-05-27T05:10:08+00:00,yes,Other
